x_position,y_position,z_position,angle_distance,count,noisy_count
0.00625,-0.099804496391696,0.1,-0.606884910676695,4971.01,4960.87189806623
0.001388460235679,-0.092410011626866,0.1,-0.556311168120304,4439.16,4435.59839343672
-0.003093056291989,-0.084779219831147,0.1,-0.505737425563913,4098.26,4100.55933050088
-0.007183089635688,-0.076931634147334,0.1,-0.455163683007521,3843.49,3837.29062498199
-0.010871180932591,-0.068887322094517,0.1,-0.40458994045113,3654.11,3655.0339631801
-0.014147899149318,-0.060666854252263,0.1,-0.354016197894739,3501.61,3497.16208649126
-0.017004865198592,-0.05229125165838,0.1,-0.303442455338348,3380.14,3387.12820638601
-0.019434773365886,-0.043781932054799,0.1,-0.252868712781956,3289.34,3290.51293576238
-0.02143140999129,-0.035160655119015,0.1,-0.202294970225565,3229.82,3230.1427737484
-0.022989669358829,-0.026449466821151,0.1,-0.151721227669174,3195.75,3195.08433144788
-0.024105566752582,-0.017670643048915,0.1,-0.101147485112783,3171.96,3160.67794307674
-0.024776248646236,-0.008846632644631,0.1,-0.050573742556391,3159.69,3153.12831436835
-0.025,0,0.1,0,3153.64,3159.31653385255
-0.024776248646236,0.008846632644631,0.1,0.050573742556391,3156.2,3152.95578331009
-0.024105566752582,0.017670643048915,0.1,0.101147485112783,3166.88,3170.79296211349
-0.022989669358829,0.026449466821151,0.1,0.151721227669174,3197.5,3200.94924371307
-0.02143140999129,0.035160655119015,0.1,0.202294970225565,3225.52,3225.12885350126
-0.019434773365886,0.043781932054799,0.1,0.252868712781956,3290.82,3291.05639192447
-0.017004865198592,0.05229125165838,0.1,0.303442455338348,3381.99,3390.92143790005
-0.014147899149318,0.060666854252263,0.1,0.354016197894739,3497.9,3495.04920340414
-0.010871180932591,0.068887322094517,0.1,0.40458994045113,3655.39,3658.23626888978
-0.007183089635688,0.076931634147334,0.1,0.455163683007521,3848.61,3853.54147998467
-0.003093056291989,0.084779219831147,0.1,0.505737425563913,4098.45,4102.06804304938
0.001388460235679,0.092410011626866,0.1,0.556311168120304,4436.88,4433.0247399498
0.00625,0.099804496391696,0.1,0.606884910676695,4968.97,4961.62065702412
0.006385933836549,0,0,-0.60824557891021,3986.83,3981.95560159056
0.001503836890341,0,0.007404700218047,-0.557558447334359,3826.79,3822.61351693237
-0.002996827570122,0,0.015047243991272,-0.506871315758508,3689.55,3688.48336627635
-0.007104498979255,0,0.022908000411993,-0.456184184182657,3566.69,3564.47345741294
-0.010808626227297,0,0.030966778063823,-0.405497052606806,3465.23,3464.34482848763
-0.014099694762261,0,0.03920287688605,-0.354809921030956,3371.72,3380.20613383468
-0.01696925102935,0,0.047595141344547,-0.304122789455105,3296.09,3289.8108651945
-0.019409924185054,0,0.056122014772618,-0.253435657879254,3235.49,3235.18793297032
-0.021415445030162,0,0.064761594742221,-0.202748526303403,3194.39,3188.90310395011
-0.022980662113047,0,0.07349168932331,-0.152061394727552,3171.95,3175.89161533639
-0.024101554961865,0,0.082289874086816,-0.101374263151702,3163.02,3160.40927753083
-0.024775244411682,0,0.091133549704823,-0.050687131575851,3153.84,3154.0070236308
-0.025,0,0.1,0,3148.88,3146.46932619667
-0.024775244411682,0,0.108866450295177,0.050687131575851,3158.93,3162.42491941748
-0.024101554961865,0,0.117710125913184,0.101374263151702,3162.73,3166.66947980617
-0.022980662113047,0,0.12650831067669,0.152061394727552,3177.69,3177.96088660224
-0.021415445030162,0,0.13523840525778,0.202748526303403,3197.77,3197.08663213746
-0.019409924185054,0,0.143877985227382,0.253435657879254,3234.62,3236.2127066351
-0.01696925102935,0,0.152404858655454,0.304122789455105,3294.14,3289.72326494907
-0.014099694762261,0,0.16079712311395,0.354809921030956,3370.59,3376.38305604685
-0.010808626227297,0,0.169033221936177,0.405497052606806,3459.45,3456.31497241246
-0.007104498979255,0,0.177091999588007,0.456184184182657,3567.49,3564.4524287476
-0.002996827570122,0,0.184952756008728,0.506871315758508,3686.64,3690.85811024637
0.001503836890341,0,0.192595299781953,0.557558447334359,3826.6,3818.41176924957
0.006385933836549,0,0.2,0.60824557891021,3984.05,3977.86169801145
0.097368421052632,-0.022790142204854,0.073684210526316,0.063103046359378,37649.2,37650.3992740267
0.091228070175439,-0.025448992128753,0.070614035087719,0.070465068434639,32327.7,32332.2751000217
0.085087719298246,-0.028107842052653,0.067543859649123,0.077827090509899,27827.2,27822.7742068908
0.078947368421053,-0.030766691976553,0.064473684210526,0.08518911258516,23936.7,23942.5416918126
0.07280701754386,-0.033425541900452,0.06140350877193,0.092551134660421,20593.4,20593.4478286921
0.066666666666667,-0.036084391824352,0.058333333333333,0.099913156735682,17725.5,17725.0447759803
0.060526315789474,-0.038743241748251,0.055263157894737,0.107275178810942,15253.4,15262.2368625964
0.054385964912281,-0.041402091672151,0.05219298245614,0.114637200886203,13160,13160.9822025807
0.048245614035088,-0.04406094159605,0.049122807017544,0.121999222961464,11369.1,11375.0569543766
0.042105263157895,-0.04671979151995,0.046052631578947,0.129361245036725,9827.27,9829.64679085469
0.035964912280702,-0.04937864144385,0.042982456140351,0.136723267111985,8512.28,8517.82956253995
0.029824561403509,-0.052037491367749,0.039912280701754,0.144085289187246,7382.42,7383.36907119094
0.023684210526316,-0.054696341291649,0.036842105263158,0.151447311262507,6416.6,6415.49237585036
0.017543859649123,-0.057355191215548,0.033771929824561,0.158809333337768,5582.53,5582.36273763175
0.01140350877193,-0.060014041139448,0.030701754385965,0.166171355413028,4868.08,4876.44380220455
0.005263157894737,-0.062672891063348,0.027631578947369,0.173533377488289,4253.04,4247.44112831623
