x_position;y_position;z_position;angle_distance;count_exp;count_test;count_tuning;noisy_count;noisy_count_tuning
0.005263158;-0.062672891;0.027631579;0.173533377;4253.04;4250;4265.65;4247.441128;4257.06
-0.000877193;-0.065331741;0.024561404;0.1808954;3717.23;3715.89;3733.63;3724.550164;3713.31
-0.007017544;-0.067990591;0.021491228;0.188257422;3258.82;3253.33;3270.81;3258.265958;3247.03
-0.013157895;-0.070649441;0.018421053;0.195619444;2855.05;2856.23;2867.1;2850.091195;2841.5
-0.019298246;-0.073308291;0.015350877;0.202981466;2507.45;2508.92;2521.71;2505.013571;2489.83
-0.025438596;-0.075967141;0.012280702;0.210343488;2206.93;2205.87;2217.94;2210.258162;2183.91
-0.031578947;-0.078625991;0.009210526;0.21770551;1944.93;1943.78;1953.33;1943.369812;1916.39
-0.037719298;-0.081284841;0.006140351;0.225067532;1714.59;1715.28;1723.02;1714.569298;1685.29
-0.043859649;-0.08394369;0.003070175;0.232429554;1513.58;1515.17;1520.16;1509.172469;1485.77
-0.05;-0.08660254;0;0.239791576;1338.77;1339.41;1343.91;1333.600014;1309.46
-0.1;0;0.1;-0.1;814.297;814.591;816.532;825.5807958;784.338
-0.091666667;0;0.1;-0.091666667;939.452;939.677;942.294;937.0988396;908.734
-0.083333333;0;0.1;-0.083333333;1085.22;1085.81;1089.03;1086.862905;1052.77
-0.075;0;0.1;-0.075;1255.65;1255.34;1260.57;1254.344533;1222.2
-0.066666667;0;0.1;-0.066666667;1456.52;1456.95;1463.12;1459.494565;1422.74
-0.058333333;0;0.1;-0.058333333;1692.87;1692.12;1699.4;1694.944023;1659.71
-0.05;0;0.1;-0.05;1969.51;1969.8;1978.37;1971.399796;1937.52
-0.041666667;0;0.1;-0.041666667;2300.35;2298.94;2307.82;2295.791727;2268.01
-0.033333333;0;0.1;-0.033333333;2687.61;2688.08;2698.16;2691.874064;2658.48
-0.025;0;0.1;-0.025;3151.63;3151.71;3161.08;3149.456144;3127.55
-0.016666667;0;0.1;-0.016666667;3701.8;3699.9;3717.46;3701.43124;3686.93
-0.008333333;0;0.1;-0.008333333;4363.99;4361.94;4373.74;4357.699698;4358.93
0;0;0.1;0;5153.3;5152.36;5158.16;5146.861384;5164.09
0.008333333;0;0.1;0.008333333;6101.35;6101.46;6099.78;6105.278487;6124.98
0.016666667;0;0.1;0.016666667;7250.47;7246.3;7230.6;7240.490043;7295.52
0.025;0;0.1;0.025;8633.62;8629.1;8593.08;8635.709058;8709.34
0.033333333;0;0.1;0.033333333;10304.5;10303.4;10226.4;10308.47015;10408.8
0.041666667;0;0.1;0.041666667;12322.7;12326.2;12199.3;12322.36113;12476.9
0.05;0;0.1;0.05;14786.4;14769.3;14551.1;14796.2943;14964
0.058333333;0;0.1;0.058333333;17754.8;17750.4;17378.5;17754.54493;17979.9
0.066666667;0;0.1;0.066666667;21326.4;21351.4;20745.6;21324.78776;21602.9
0.075;0;0.1;0.075;25664.1;25650.6;24719.5;25664.20296;25910.4
0.083333333;0;0.1;0.083333333;30798.5;30792.2;29372;30804.85958;30995.1
0.091666667;0;0.1;0.091666667;36843;36869.8;34696.2;36841.79153;36927.8
0.1;0;0.1;0.1;43822.3;43831.7;40706.9;43821.05612;43640.4
