x_position;y_position;z_position;angle_distance;count_exp;noisy_count;count_tuning;noisy_count_tuning;count_tuning0;noisy_count_tuning0;;noisy_error;tuning_error;noisy_tuning_error;
0.006814835;0;0.198236191;-0.261799388;3354.42;3350.044748;3373.74;3370.45;3364.23;3365.04;;0.001304324;0.005759565;0.00477877;-0.000980795
0.003038449;0;0.215270364;-0.174532925;3257.56;3260.620334;3272.93;3270.54;3271.64;3273.08;;0.000939456;0.004718255;0.003984577;-0.000733678
0.00076106;0;0.232568851;-0.087266463;3217.57;3216.554965;3229.78;3232.89;3235.34;3232.93;;0.000315466;0.003794789;0.004761357;0.000966568
0;0;0.25;0;3204.78;3206.432854;3215.65;3215.22;3217.33;3217.12;;0.000515746;0.003391808;0.003257634;-0.000134175
0.00076106;0;0.267431149;0.087266463;3218.24;3214.547105;3231.55;3225.01;3236.2;3235.22;;0.001147489;0.004135801;0.002103634;-0.002032167
0.003038449;0;0.284729636;0.174532925;3257.88;3254.591822;3274.01;3265.78;3271.76;3267.41;;0.0010093;0.004951072;0.00242489;-0.002526183
0.006814835;0;0.301763809;0.261799388;3355.05;3351.195778;3375.82;3370.36;3367.9;3367.14;;0.001148782;0.006190668;0.00456327;-0.001627398
0.012061476;0;0.318404029;0.34906585;3521.35;3514.8443;3548.07;3538.42;3526.72;3531.34;;0.001847502;0.007587999;0.004847573;-0.002740426
0.018738443;0;0.334523652;0.436332313;3748.03;3746.196635;3775.74;3772.42;3751.05;3751.16;;0.000489154;0.007393217;0.006507419;-0.000885799
0.026794919;0;0.35;0.523598776;4042.26;4044.130734;4079.31;4075.8;4044.92;4041.08;;0.000462794;0.009165665;0.008297339;-0.000868326
0.036169591;0;0.364715287;0.610865238;4427.15;4430.092387;4478.68;4469.06;4420.56;4417.51;;0.000664623;0.011639542;0.009466587;-0.002172956
0.046791111;0;0.378557522;0.698131701;4933.47;4932.376868;4999.59;4994.72;4910.47;4915.55;;0.000221575;0.013402331;0.012415197;-0.000987135
0.058578644;0;0.391421356;0.785398163;5611.79;5619.097727;5699.37;5693.7;5577.27;5575.82;;0.00130221;0.015606429;0.014596056;-0.001010373
0.071442478;0;0.403208889;0.872664626;6547.91;6545.671436;6654.38;6657.85;6491.18;6490.8;;0.000341875;0.01626015;0.01679009;0.00052994
0.085284713;0;0.413830409;0.959931089;7882.62;7886.516653;8005.03;8025.32;7790.45;7798.43;;0.000494335;0.015529101;0.018103118;0.002574017
0.1;0;0.423205081;1.047197551;9879.36;9882.388465;9994.43;10065.2;9753.24;9753.2;;0.000306545;0.011647516;0.018810935;0.007163419
0.044948974;-0.089328549;0.160671451;-0.683677423;8531.69;8532.055856;8706.2;8727.96;8402.12;8402.35;;4.2882E-05;0.02045433;0.023004821;0.002550491
0.038007048;-0.082940592;0.167059408;-0.626704304;6041.48;6042.468114;6155.59;6148.17;5977.3;5982;;0.000163555;0.018887756;0.01765958;-0.001228176
0.031590799;-0.076283488;0.173716512;-0.569731185;5144.81;5144.045449;5231.28;5218.58;5111.29;5107.85;;0.000148606;0.016807229;0.014338722;-0.002468507
0.025721047;-0.069378839;0.180621161;-0.512758067;4581.56;4590.710848;4645.17;4636.43;4565.99;4561;;0.001997321;0.013883917;0.01197627;-0.001907647
0.020416841;-0.062249052;0.187750948;-0.455784948;4186.64;4196.88428;4234.81;4229.77;4178.13;4179.63;;0.002446898;0.011505647;0.010301817;-0.001203829
0.015695392;-0.054917263;0.195082737;-0.39881183;3892.21;3890.82779;3928.15;3918.26;3887.39;3892.02;;0.000355122;0.009233829;0.006692856;-0.002540973
0.011572023;-0.047407264;0.202592736;-0.341838711;3667.1;3668.470982;3696.42;3689.91;3670.75;3668.08;;0.00037386;0.007995419;0.006220174;-0.001775245
0.008060113;-0.039743426;0.210256574;-0.284865593;3494.28;3499.764488;3522.59;3513.18;3504.02;3500.7;;0.001569562;0.008101812;0.00540884;-0.002692973
0.00517106;-0.031950619;0.218049381;-0.227892474;3363.55;3362.619218;3385.9;3378.46;3373.53;3371.66;;0.000276726;0.006644765;0.004432817;-0.002211949
0.002914238;-0.024054129;0.225945871;-0.170919356;3284.7;3286.687173;3299.58;3298.73;3293.39;3294.74;;0.000604979;0.004530094;0.004271319;-0.000258776
0.00129697;-0.016079583;0.233920417;-0.113946237;3240.97;3246.396197;3261.97;3250.75;3256.02;3256.44;;0.001674251;0.006479542;0.003017615;-0.003461927
0.000324506;-0.008052858;0.241947142;-0.056973119;3214.07;3216.833502;3228.47;3221.82;3229.15;3228.08;;0.000859814;0.004480301;0.002411273;-0.002069028
0;-4.08E-13;0.25;-2.88E-12;3205.24;3206.252035;3217.81;3214.51;3218.64;3217.46;;0.000315744;0.003921703;0.002892139;-0.001029564
0.000324506;0.008052858;0.258052858;0.056973119;3213.81;3211.312455;3222.45;3221.56;3226.87;3227.98;;0.000777129;0.002688398;0.002411468;-0.00027693
0.00129697;0.016079583;0.266079583;0.113946237;3240.24;3230.304995;3261.47;3255.69;3246.64;3257.3;;0.003066132;0.006551984;0.004768165;-0.001783818
0.002914238;0.024054129;0.274054129;0.170919356;3286.26;3290.041338;3303.89;3300.6;3300.15;3299.08;;0.001150651;0.005364761;0.004363623;-0.001001138
0.00517106;0.031950619;0.281950619;0.227892474;3365.38;3365.211952;3385.85;3382.87;3374.88;3375.38;;4.99345E-05;0.006082523;0.005197036;-0.000885487
0.008060113;0.039743426;0.289743426;0.284865593;3494.27;3486.565206;3519.07;3511.68;3500.5;3499.88;;0.00220498;0.007097334;0.004982443;-0.002114891
0.011572023;0.047407264;0.297407264;0.341838711;3667.01;3672.578905;3694.04;3693.83;3672.39;3672.75;;0.00151865;0.007371128;0.007313861;-5.72674E-05
0.015695392;0.054917263;0.304917263;0.39881183;3892.5;3893.432446;3930.23;3920.98;3890.34;3890.55;;0.000239549;0.009692999;0.007316635;-0.002376365
0.020416841;0.062249052;0.312249052;0.455784948;4186.62;4185.927964;4234.47;4225.76;4179.57;4177.1;;0.000165297;0.011429268;0.00934883;-0.002080437
0.025721047;0.069378839;0.319378839;0.512758067;4581.3;4584.661593;4644.88;4634.34;4563.64;4566.23;;0.000733764;0.013878157;0.0115775;-0.002300657
0.031590799;0.076283488;0.326283488;0.569731185;5144.16;5154.737687;5228.9;5224.48;5113.49;5113.13;;0.002056252;0.016473049;0.015613822;-0.000859227
0.038007048;0.082940592;0.332940592;0.626704304;6039.52;6042.708662;6151.81;6145.35;5981.1;5986.04;;0.000527966;0.018592537;0.017522916;-0.001069621
0.044948974;0.089328549;0.339328549;0.683677423;8531.82;8534.520406;8707.09;8725.96;8405.19;8405.99;;0.00031651;0.020543096;0.022754817;0.00221172
0.092857143;0.037115374;0.324230749;0.135526185;15951.2;15947.02228;15373.2;15869.9;16010.6;16010.5;;0.000261906;0.036235518;0.005096795;-0.031138723
0.086904762;0.03917734;0.328354679;0.143055418;13949;13954.13544;13610;13958.6;13949.6;13950.8;;0.000368158;0.024302817;0.000688221;-0.023614596
0.080952381;0.041239305;0.33247861;0.15058465;12199.2;12198.78999;12037.9;12269.4;12179.6;12180.1;;3.36094E-05;0.013222179;0.005754476;-0.007467703
