v,v0,rc,wc,rc0,wc0,v1,rc1,wc1,v2,rc2,wc2
2.10138E-09,2.22384E-09,,1,,1,2.22384E-09,1,0,2.22384E-09,,1
2.1756E-09,2.23316E-09,,1,,1,2.23316E-09,,1,2.23316E-09,,1
2.21967E-09,2.21967E-09,,1,,1,2.21967E-09,,1,2.21967E-09,1,0
2.22384E-09,2.05599E-09,1,,1,,2.05599E-09,,1,2.05599E-09,1,0
2.23316E-09,1.93014E-09,,1,,1,1.93014E-09,1,0,1.93014E-09,,1
2.23733E-09,1.77594E-09,,1,,1,1.77594E-09,,1,1.77594E-09,,1
2.28431E-09,1.80429E-09,1,,1,,1.80429E-09,,1,1.80429E-09,,1
2.30832E-09,1.95848E-09,,1,,1,1.98683E-09,1,0,1.95848E-09,,1
2.3096E-09,2.1756E-09,,1,,1,2.1756E-09,,1,2.20394E-09,1,0
2.34616E-09,2.30832E-09,1,,1,,2.30832E-09,,1,2.30832E-09,,1
2.35135E-09,2.35135E-09,,1,1,,2.35135E-09,,1,2.35135E-09,,1
2.39438E-09,2.39438E-09,,1,,1,2.39438E-09,,1,2.40112E-09,1,0
2.41461E-09,2.41461E-09,,1,,1,2.41461E-09,,1,2.41461E-09,1,0
2.43201E-09,2.53914E-09,,1,,1,2.53914E-09,1,0,2.53914E-09,,1
2.47096E-09,2.66955E-09,,1,,1,2.63888E-09,,1,2.66955E-09,,1
2.53914E-09,2.67567E-09,,1,1,,2.67567E-09,,1,2.67567E-09,,1
2.57271E-09,2.64127E-09,,1,,1,2.64127E-09,,1,2.64127E-09,,1
2.61165E-09,2.66533E-09,,1,,1,2.65796E-09,,1,2.65796E-09,1,0
2.63888E-09,2.61165E-09,,1,,1,2.61165E-09,1,0,2.61165E-09,,1
2.64127E-09,2.47096E-09,1,,1,,2.47096E-09,1,0,2.47096E-09,,1
2.65796E-09,2.43201E-09,,1,,1,2.50236E-09,,1,2.40061E-09,,1
2.67567E-09,2.57271E-09,,1,,1,2.57271E-09,1,0,2.57271E-09,,1
2.70744E-09,2.73041E-09,,1,,1,2.73041E-09,1,0,2.73041E-09,1,0
2.73041E-09,2.77819E-09,,1,,1,2.77819E-09,,1,2.77819E-09,1,0
2.74547E-09,2.8393E-09,,1,,1,2.8393E-09,1,0,2.8393E-09,,1
2.77438E-09,2.83199E-09,1,,,1,2.83199E-09,1,0,2.83199E-09,,1
2.77819E-09,2.84268E-09,,1,,1,2.84268E-09,,1,2.84268E-09,,1
2.79098E-09,2.70744E-09,,1,,1,2.70744E-09,1,0,2.70744E-09,,1
2.83199E-09,2.74547E-09,,1,,1,2.74547E-09,,1,2.74547E-09,,1
2.8393E-09,2.79098E-09,,1,,1,2.79098E-09,,1,2.79098E-09,,1
2.84268E-09,2.77438E-09,,1,1,,2.77438E-09,,1,2.77438E-09,1,0
