particle_positions_x,particle_positions_y,particle_positions_z,noisy_particle_positions_x,noisy_particle_positions_y,noisy_particle_positions_z,counts_it1000,counts_it10000,counts_it100000,counts_it1000000,counts_it10000000,counts_it10001,counts_it100001,counts_it1000001,counts_it10000001,counts_it10002,counts_it100002,counts_it1000002,counts_it10000002,noisy_counts_it10000,noisy_counts_it100000,noisy_counts_it1000000,noisy_counts_it1000,noisy_counts_it10000000,nomad_run1,nomad_run2,nomad_run3,nomad_run4,nomad_run5,counts_it1000000,nomad_run5_2,nomad_run6,nomad_run7,nomad_run8,nomad_run9,nomad_run11,nomad_run12
0.0424264,0.0424264,0.0436364,0.041290863119206,0.041025484792143,0.0433511945799,6663.1,6676.34,6742.82,6741.06,6743.45,6656.38,6790.11,6731.31,6739.32,6585.08,6823.77,6722.06,6738.66,6570.01,6584.97,6590.27,6718.81,6590.68,6741.75,6783.8,6776.86,6707.28,6758.87,6741.06,6757.41,6776.59,6755.94,6752.31,6732.54,6760.47,6741.23
0.03,0,0.0436364,0.029904136283274,-0.003175860281371,0.043611878125068,5283.96,5371.9,5380.28,5392.14,5392.29,5363.12,5452.09,5369.79,5390.22,5323.99,5378.68,5383.67,5395.73,5348.88,5389.54,5387.72,5362.88,5381.65,5389.69,5421.95,5410.63,5390.24,5394.21,5392.14,5400.32,5410.52,5401.33,5374.43,5372.96,5402.18,5392.31
0.09,0,0.0436364,0.091291209378161,-0.00064936390876,0.04773919918267,17180.5,17410.9,17329.6,17356.1,17362.3,17319.2,17263.6,17357.8,17380.5,17612.9,17292.2,17377.5,17391.7,17864,18077.4,18075.5,17992.2,18051.8,17387.4,17711.9,17174.9,17484.3,17299.8,17356.1,17289.6,17361.7,17571.7,19126.9,17551.3,17332.9,17348.8
0.0424264,-0.0424264,0.0436364,0.042207362428533,-0.041970704154678,0.042581202896228,6724.16,6716.19,6739.28,6743.71,6742.43,6630.73,6769.04,6756.33,6739.42,6939.72,6783.86,6732.15,6740.11,6762.63,6697.6,6701.96,6638.12,6701.57,6738.76,6793.83,6781.4,6713.13,6755.43,6743.71,6756.87,6774.71,6764.27,6751.97,6728.5,6761.3,6745.61
0,-0.03,0.0436364,-7.86835628510361E-05,-0.033869426085737,0.044758743361621,3032.47,3096.92,3065.89,3068.75,3070.09,2980.77,3043.27,3071.84,3066.04,3067.8,3053.37,3068.3,3068.23,3069.48,3067.26,3068.5,3105.48,3066.26,3072.64,3072.97,3079.17,3082.89,3071.02,3068.75,3070.53,3066.8,3062.65,3036.14,3049.7,3064.46,3069.52
0,-0.09,0.0436364,-0.003890544381769,-0.088277925816819,0.045802568713898,3281.17,3191.56,3186.81,3184.89,3184.56,3199.53,3179.58,3187.95,3184.05,3258.47,3178.15,3175.27,3184.58,2945,2939.02,2942.9,3023.32,2942.3,3186.45,3189.08,3201.63,3181.24,3190.22,3184.89,3191.03,3192.26,3183.3,3129.27,3165.35,3186.13,3189.23
-0.0424264,-0.0424264,0.0436364,-0.04121788375899,-0.043446286021106,0.046875363826978,1456.16,1466.93,1458.23,1456.47,1455.91,1457.41,1460.71,1450.82,1454.44,1455.17,1456.55,1453.2,1456.08,1486,1489.5,1490.89,1527.39,1490.56,1456.48,1451.76,1449.2,1481.49,1449.43,1456.47,1448.85,1444.03,1445.85,1451.17,1440.97,1446.44,1454.36
-0.03,0,0.0436364,-0.028556711455322,-0.001944377180857,0.044701164823703,1776.97,1831.22,1827.66,1829.56,1829.37,1809.12,1808.36,1826.71,1829.51,1798.92,1851.47,1837.05,1829.49,1881.05,1881.9,1877.9,1896.45,1879.2,1831.17,1829.12,1824.08,1856.78,1822.22,1829.56,1824.1,1822.15,1817.7,1816.87,1812.82,1820.23,1830.07
-0.09,0,0.0436364,-0.091285688476833,-0.000929977305383,0.049636296241478,660.594,679.182,673.298,674.044,673.754,678.485,677.949,671.57,673.455,671.147,677.902,674.795,673.481,655.115,667.223,665.546,661.851,664.449,674.375,671.181,663.609,697.954,665.244,674.044,665.989,662.362,665.786,684.87,666.099,664.211,672.709
-0.0424264,0.0424264,0.0436364,-0.042804826412324,0.041899863673288,0.047186568981313,1438.68,1461.56,1454.98,1454.27,1455.71,1457.55,1448.68,1454.01,1454.62,1451.47,1464.03,1452.28,1456.45,1451.91,1453.97,1451.69,1430.24,1451.48,1456.45,1453.36,1447.28,1480.67,1449.11,1454.27,1449.1,1443.66,1444.34,1451.21,1442.38,1445,1454.95
0,0,0.0672727,-0.000896900166377,-0.001442818576741,0.066740962810687,3112.6,3195.25,3195.24,3200.31,3199.65,3253.1,3187.32,3192.25,3201.79,3250.95,3187.68,3197.84,3197.72,3115.84,3131.88,3145.76,3055.53,3145.46,3197.83,3205.09,3207.66,3218.71,3199.2,3200.31,3197.82,3200.64,3189.89,3166.08,3178.42,3193.7,3197.86
0,0.06,0.0672727,-0.001661214634468,0.061012744078862,0.06679502108298,3168,3107.59,3109.36,3111.59,3111.38,3123.01,3085.52,3108.57,3109.7,3092.6,3118.04,3108.97,3113.29,3016.55,3023.32,3017.94,3026.62,3018.89,3112.22,3115.1,3122.13,3119.11,3112.19,3111.59,3113.51,3111.84,3104.12,3070.78,3092.7,3110.46,3113.88
0.0212132,0.0212132,0.0672727,0.024160485213562,0.019387320568179,0.069987171310174,4769.65,4741.8,4672.18,4694.33,4695.31,4698.12,4704.83,4707.03,4687.74,4498.41,4698.03,4701.96,4693.78,4990.5,4959.84,4971.26,5040.75,4975.2,4690.76,4712.92,4719.8,4696.55,4695.39,4694.33,4701.65,4701.52,4704.29,4654.77,4679.3,4698.3,4696.87
0.0636396,0.0636396,0.0672727,0.063358589776048,0.065353035902584,0.06486282613186,10849.8,11005.8,10938.7,10945.3,10937.8,10975.8,10843.7,10957.3,10942.6,10663.2,10929.4,10954.5,10932.7,10960.7,10964.8,10948.8,10906.6,10946.5,10944.6,11066.4,10965.9,10863.8,10963.6,10945.3,10964.5,11011.1,11018.3,11251.9,10977.9,10975,10932.9
